timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-02-02,0.01335800,0.01402900,0.01325900,0.01377400,72530.14100000,1675382399999,998.05473866,95836,38388.20600000,528.62610490,0
2023-02-03,0.01377300,0.01425200,0.01360000,0.01417800,67765.89100000,1675468799999,946.42056504,86746,31297.51300000,437.88708082,0
2023-02-04,0.01417800,0.01424300,0.01404600,0.01416300,24690.07700000,1675555199999,348.72074591,41577,12167.73400000,171.83303445,0
2023-02-05,0.01416300,0.01443300,0.01404100,0.01429000,40203.09800000,1675641599999,571.86253812,71559,20154.20600000,286.74751732,0
2023-02-06,0.01429000,0.01436700,0.01415000,0.01424800,28862.04200000,1675727999999,412.01350193,46438,14657.51800000,209.25025079,0
2023-02-07,0.01424900,0.01440800,0.01421600,0.01432500,29493.36700000,1675814399999,422.18677670,48509,15225.42500000,217.96198152,0
2023-02-08,0.01432400,0.01438100,0.01420700,0.01429200,26725.92600000,1675900799999,381.93696161,43423,12259.84800000,175.22778600,0
2023-02-09,0.01429300,0.01432100,0.01380700,0.01404600,47634.13300000,1675987199999,671.84300944,76064,22438.85300000,316.67122523,0
2023-02-10,0.01404600,0.01420800,0.01390000,0.01414000,32531.31400000,1676073599999,457.72119481,46463,17633.38000000,248.03557672,0
2023-02-11,0.01414100,0.01425900,0.01412000,0.01420100,20500.05800000,1676159999999,291.23628318,31054,9481.53400000,134.71250539,0
2023-02-12,0.01420100,0.01459800,0.01406100,0.01435100,39453.21200000,1676246399999,566.39056690,60537,19196.09300000,275.57999771,0
2023-02-13,0.01435100,0.01444300,0.01316900,0.01351400,161757.54100000,1676332799999,2205.42829225,182106,73454.98000000,1002.05070982,0
2023-02-14,0.01351400,0.01361300,0.01331900,0.01333900,53943.63600000,1676419199999,726.08106262,68701,25346.18500000,341.26362441,0
2023-02-15,0.01334000,0.01349500,0.01291000,0.01304400,54652.45600000,1676505599999,723.03033127,72703,21436.29000000,283.94940618,0
2023-02-16,0.01304500,0.01328500,0.01268100,0.01293900,81468.42700000,1676591999999,1056.62082787,101645,36313.91000000,471.12515836,0
2023-02-17,0.01294000,0.01312800,0.01262800,0.01274100,49739.31000000,1676678399999,640.79468305,68371,23900.59400000,308.20313558,0
2023-02-18,0.01274100,0.01297500,0.01271300,0.01285100,29280.15100000,1676764799999,375.77205189,42795,14767.79500000,189.55232999,0
2023-02-19,0.01285200,0.01288100,0.01264100,0.01282300,31568.69000000,1676851199999,403.38042913,50088,14331.17800000,183.15448669,0
2023-02-20,0.01283300,0.01302600,0.01260200,0.01269900,49877.60900000,1676937599999,639.28465226,71353,21908.52400000,280.79865132,0
2023-02-21,0.01269800,0.01284600,0.01257000,0.01274400,38494.61400000,1677023999999,489.17011927,55774,18259.64300000,232.18136356,0
2023-02-22,0.01274500,0.01295000,0.01271700,0.01292100,34514.77600000,1677110399999,442.36169690,54872,18384.89700000,235.72182354,0
2023-02-23,0.01292100,0.01297000,0.01275300,0.01287900,27957.93900000,1677196799999,360.15927639,50675,13441.42000000,173.21218075,0
2023-02-24,0.01287800,0.01308100,0.01284800,0.01303400,30570.59800000,1677283199999,397.25793838,52818,15359.47100000,199.62823599,0
2023-02-25,0.01303400,0.01313000,0.01296000,0.01305600,23689.54100000,1677369599999,309.14180820,37245,13116.79200000,171.14858385,0
2023-02-26,0.01305600,0.01317500,0.01301200,0.01310200,18824.28200000,1677455999999,246.43532618,35134,9359.64500000,122.55994832,0
2023-02-27,0.01310100,0.01314200,0.01287700,0.01297200,26817.26300000,1677542399999,348.75106236,47066,12362.04800000,160.80062568,0
2023-02-28,0.01297100,0.01308300,0.01289500,0.01302600,21112.55800000,1677628799999,273.82403197,39089,9885.58900000,128.26226172,0
2023-03-01,0.01302500,0.01306400,0.01272700,0.01280400,28379.56600000,1677715199999,364.32100557,48839,13220.80700000,169.69473097,0
2023-03-02,0.01280500,0.01284200,0.01270000,0.01277800,23052.08500000,1677801599999,294.32851664,38386,10802.15900000,137.95903427,0
2023-03-03,0.01277800,0.01304200,0.01274800,0.01299000,59040.76600000,1677887999999,765.23561939,62570,38362.21600000,497.54692275,0
2023-03-04,0.01299000,0.01302700,0.01288700,0.01295700,20689.65200000,1677974399999,268.36486191,30742,11011.14600000,142.93767814,0
2023-03-05,0.01295700,0.01301200,0.01284000,0.01287500,17217.07600000,1678060799999,222.95594643,28427,7704.87100000,99.81171074,0
2023-03-06,0.01287500,0.01289700,0.01267400,0.01284700,26984.85600000,1678147199999,344.58266405,33209,12568.36600000,160.52542789,0
2023-03-07,0.01284700,0.01304300,0.01273400,0.01303200,30543.58800000,1678233599999,394.37914166,38383,18566.60800000,240.11238824,0
2023-03-08,0.01303300,0.01328600,0.01299100,0.01322700,38478.72700000,1678319999999,504.82108579,47175,20239.64500000,265.59469655,0
2023-03-09,0.01322700,0.01363000,0.01317800,0.01360700,51861.01000000,1678406399999,695.73609549,63389,29240.13900000,392.34838793,0
2023-03-10,0.01360800,0.01387100,0.01343000,0.01376600,66057.82600000,1678492799999,902.41866888,80009,40029.22800000,546.86594255,0
2023-03-11,0.01376700,0.01377000,0.01341600,0.01348500,44067.43500000,1678579199999,601.15854204,62481,21997.47400000,300.28045935,0
2023-03-12,0.01348500,0.01364200,0.01305200,0.01309900,43371.23700000,1678665599999,580.33752738,68561,19344.81500000,258.96466897,0
2023-03-13,0.01309800,0.01380000,0.01263500,0.01277100,132729.02100000,1678751999999,1741.39269241,168706,55536.27900000,732.65812693,0
2023-03-14,0.01277100,0.01280200,0.01204200,0.01249900,97241.27800000,1678838399999,1204.19022175,109029,41584.35200000,515.12538676,0
2023-03-15,0.01249700,0.01262600,0.01236800,0.01261500,48975.93500000,1678924799999,612.39666771,83219,24199.01100000,302.64864018,0
2023-03-16,0.01261500,0.01336600,0.01247600,0.01317500,150442.48000000,1679011199999,1958.76791878,175976,71759.46500000,933.52426493,0
